# Shopper: Master Platform Roadmap & Status (v2.0 - Fully Consolidated)

This is the authoritative tracking document for the Shopper Mobile POS, Web Frontend, and Backend API.

| Section | Feature / Task                | Priority | Status   | Description / Action Taken                                                     |
|:-------:|:------------------------------|:--------:|:--------:|:-------------------------------------------------------------------------------|
| **I**   | **Core Infrastructure & Auth**|          |          |                                                                                |
|         | Configurable Isolation Model  | **CRITICAL** | **DONE** | Toggle between RLS (shared) and Per-Tenant Schema in `tenant.py` & `db.py`.    |
|         | Subdomain-to-Tenant Mapping   | **HIGH** | **DONE** | Automatic resolution via `Host` header & `resolve_tenant_id`.                  |
|         | GUC-Based RLS Safety Net      | **HIGH** | **DONE** | `SET LOCAL app.tenant_id` enforced in every transaction.                       |
|         | Dedicated DB Routing          | **HIGH** | **DONE** | Capacity to route high-tier tenants to specific hardware/databases.            |
|         | Bi-directional Migration Logic| **CRITICAL** | **DONE** | Data movement logic implemented in `migration_service.py`.                     |
|         | Fail-Closed Resolver          | **HIGH** | **DONE** | Unknown subdomains return 404/403 (no demo fallback).                           |
| **II**  | **Financials, Payments & VAT**|          |          |                                                                                |
|         | Mushak 6.3/6.1 Tax Invoices   | **CRITICAL** | **DONE** | Bilingual PDF and Thermal Receipt generation (English & Bengali).             |
|         | Multi-Gateway Pay Sessions    | **CRITICAL** | **DONE** | SSLCommerz, bKash, and Nagad integrated in `payments_core.py`.                 |
|         | Remote IPN Validation         | **HIGH** | **DONE** | Real-time `val_id` verification against Gateway APIs for security.             |
|         | Inventory Valuation (WAC/FIFO)| **HIGH** | **DONE** | Materialized `wac_cost` and FIFO `cost_layers` via DB triggers.                |
|         | Outstanding Balance Engine    | **HIGH** | **DONE** | Formula-based balance tracking in `invoices_router.py`.                        |
|         | Commercial Invoicing          | **MED**  | **DONE** | Installment JSONB support and line-level VAT logic.                            |
| **III** | **Mobile POS (Flutter)**      |          |          |                                                                                |
|         | Batch Order Sync Protocol     | **HIGH** | **DONE** | SQLite -> API sync with conflict resolution in `pos_router.py`.                |
|         | 10k+ SKU FTS5 Search          | **HIGH** | **DONE** | High-performance full-text search using Drift virtual tables.                  |
|         | Bluetooth Thermal Printing    | **MED**  | **DONE** | `PrinterService` with ESC/POS command support for thermal receipts.            |
|         | UI Design System (8pt)        | -        | **DONE** | Validated atomic Shopper widgets and typography system.                        |
|         | Mobile Localization (Bn/En)   | **LOW**  | **DONE** | 100% ARB coverage for Products, Cart, and Checkout screens.                    |
| **IV**  | **Web Frontend (Angular)**    |          |          |                                                                                |
|         | Product & Admin Dashboard     | **HIGH** | **DONE** | Basic management UI for tenant settings and catalog.                            |
|         | Theme Engine (10+ Themes)     | **MED**  | **DONE** | Implementation of dynamic CSS variable themes via `ThemeService`.         |
|         | Reusable UI Library           | **MED**  | **DONE** | Consolidated `ShopperButton` and `ShopperDataGrid` into Shared Module.        |
|         | Zero-Literals Audit (i18n)    | **LOW**  | **DONE** | Translation files (`en.json`, `bn.json`) and Transloco loader integrated.     |
| **V**   | **Security & Compliance**     |          |          |                                                                                |
|         | Audit Log DML Triggers        | -        | **DONE** | 008_audit_triggers.sql implements full lifecycle tracking.                      |
|         | Tamper-Evident Hash Chaining  | **HIGH** | **DONE** | SHA-256 chaining of audit records in `015_audit_chaining.sql`.                 |
|         | RBAC Implementation           | **HIGH** | **DONE** | Role-based gatekeeping (Cashier vs Manager vs Accountant) in API deps.         |
|         | IPN Idempotency               | -        | **DONE** | Redis-backed successful IPN replay suppression.                                |
|         | HMAC Signature Verification   | **HIGH** | **DONE** | Signature checks implemented for MFS gateway callbacks.                       |
| **VI**  | **QA & DevOps Resilience**     |          |          |                                                                                |
|         | Isolation Test Suite          | **HIGH** | **DONE** | Automated tests verifying data cannot leak between tenants.                     |
|         | E2E POS Transaction Flow      | **MED**  | **DONE** | Full "Order -> Stock -> Invoice -> Sync" integration test.                     |
|         | Migration Pipeline            | **LOW**  | **DONE** | Sequential SQL migration runner with version tracking.                         |
|         | Stock Aging Reports           | **MED**  | **DONE** | Automated reporting for slow-moving inventory in `reports_router.py`.          |

---
**Status Summary:** Platform Hardening Stage **[COMPLETE]** | **Next Phase:** Web Frontend Polish.
